project_id,district,stage,days_in_stage,legal_case_pending,rr_compliance_pct,revenue_dept_delay_flag,num_landowners,past_disputes_count,risk_label,lat,lng
LA-1000,Aurangabad,Notification,72,0,30,0,294,1,0,19.780729,75.246856
LA-1001,Amravati,Compensation,54,1,71,0,185,3,1,20.93864,77.777509
LA-1002,Nashik,Compensation,111,0,34,0,252,1,0,19.944343,73.664382
LA-1003,Amravati,Possession,101,0,26,0,120,5,1,20.864832,77.688394
LA-1004,Amravati,Notification,67,0,47,0,283,0,1,20.926596,77.91273
LA-1005,Pune,Award,51,0,70,0,73,2,0,18.410385,73.999647
LA-1006,Nashik,Compensation,97,1,77,1,258,2,1,20.125824,73.752678
LA-1007,Nashik,Notification,92,0,24,0,185,2,1,20.107811,73.916786
LA-1008,Nashik,Compensation,111,1,24,0,173,1,1,20.059786,73.803247
LA-1009,Amravati,Compensation,8,0,27,0,253,0,0,20.819264,77.710523
LA-1010,Aurangabad,Award,34,1,83,1,192,2,1,19.958963,75.40402
LA-1011,Nashik,Survey,35,0,29,0,58,2,0,20.089887,73.837471
LA-1012,Kolhapur,Possession,96,1,57,0,142,1,1,16.785329,74.390038
LA-1013,Amravati,Possession,88,1,27,1,172,0,1,20.82159,77.709114
LA-1014,Pune,Award,78,0,44,0,107,3,1,18.563572,73.908318
LA-1015,Aurangabad,Compensation,32,0,92,0,89,3,1,19.976497,75.208907
LA-1016,Kolhapur,Notification,46,1,85,0,216,1,1,16.728206,74.127394
LA-1017,Kolhapur,Compensation,107,1,98,1,7,1,1,16.748922,74.094476
LA-1018,Pune,Award,16,0,69,0,183,3,0,18.507909,74.006538
LA-1019,Aurangabad,Possession,68,1,86,1,42,0,0,19.884812,75.433982
LA-1020,Amravati,Compensation,116,1,68,1,243,0,1,20.797713,77.865617
LA-1021,Nagpur,Possession,37,1,55,0,173,1,1,21.187489,79.091118
LA-1022,Aurangabad,Notification,54,1,87,0,34,4,1,19.750634,75.28332
LA-1023,Pune,Possession,85,1,97,0,194,2,1,18.500904,73.752079
LA-1024,Kolhapur,Possession,14,0,60,0,29,1,0,16.642797,74.178702
LA-1025,Amravati,Survey,95,0,81,0,116,2,1,20.951028,77.742391
LA-1026,Aurangabad,Survey,55,0,29,1,210,3,1,19.766225,75.420193
LA-1027,Nagpur,Survey,48,1,40,1,189,1,1,21.203293,79.100099
